Epicenter Distance,Restricted Entry,Restricted Use,Reoccupancy,Best Line Functionality,Full Functionality
46.3,0.238,0.417,0.141,0.125,0.0788
48.3,0.227,0.415,0.149,0.132,0.0763
37.5,0.273,0.461,0.125,0.0947,0.0459
55.1,0.191,0.373,0.157,0.16,0.118
58.5,0.178,0.364,0.163,0.171,0.124
37.7,0.28,0.463,0.125,0.0895,0.042
36.5,0.284,0.474,0.123,0.0853,0.0344
34.2,0.192,0.487,0.155,0.112,0.0533
39.6,0.275,0.458,0.131,0.0944,0.0412
50.5,0.204,0.399,0.16,0.148,0.0889
37,0.279,0.469,0.127,0.0908,0.0333
38.9,0.274,0.453,0.126,0.099,0.0488
34.6,0.28,0.463,0.125,0.0901,0.042
50,0.226,0.407,0.151,0.137,0.0785
52,0.207,0.393,0.153,0.147,0.101
46,0.239,0.426,0.147,0.125,0.0635
39.9,0.258,0.451,0.137,0.105,0.0491
32,0.307,0.485,0.108,0.0695,0.0305
44.5,0.232,0.431,0.147,0.123,0.0682
36.4,0.277,0.479,0.122,0.0829,0.0391
33.4,0.293,0.478,0.118,0.0769,0.034
53.7,0.194,0.378,0.16,0.16,0.108
27.8,0.331,0.502,0.0918,0.0539,0.0214
33.5,0.295,0.484,0.116,0.0755,0.0292
52.2,0.211,0.4,0.153,0.138,0.0975
46.1,0.235,0.426,0.142,0.122,0.0752
41.1,0.26,0.444,0.135,0.107,0.0546
33.9,0.308,0.479,0.111,0.0722,0.0294
33.7,0.29,0.486,0.118,0.0776,0.0286
30.4,0.307,0.493,0.109,0.0665,0.0244
37.5,0.16,0.473,0.208,0.119,0.0402
38.1,0.276,0.467,0.13,0.0907,0.0369
45,0.234,0.425,0.149,0.127,0.066
49.2,0.219,0.401,0.156,0.144,0.0807
49.3,0.221,0.41,0.153,0.136,0.0796
56.8,0.112,0.338,0.175,0.197,0.178
29,0.327,0.502,0.0966,0.0546,0.0204
43.9,0.236,0.425,0.144,0.124,0.0715
46.7,0.239,0.417,0.148,0.127,0.0698
50.7,0.22,0.397,0.152,0.142,0.0886
62.6,0.169,0.339,0.163,0.181,0.148
63.8,0.177,0.334,0.158,0.179,0.153
34.6,0.111,0.465,0.236,0.135,0.0528
38.4,0.275,0.457,0.124,0.093,0.051
49.2,0.209,0.393,0.155,0.148,0.0947
31.6,0.64,0.264,0.0482,0.0354,0.0128
28.6,0.326,0.486,0.101,0.0621,0.0245
56.2,0.192,0.369,0.161,0.16,0.117
37.8,0.29,0.461,0.126,0.0893,0.034
43.7,0.247,0.432,0.142,0.116,0.0626
31.5,0.652,0.259,0.0468,0.0328,0.00903
41.3,0.263,0.446,0.13,0.103,0.0582
51.8,0.206,0.407,0.163,0.147,0.0774
49,0.223,0.403,0.149,0.138,0.0864
36.7,0.293,0.468,0.12,0.0825,0.0368
53.1,0.209,0.4,0.158,0.144,0.0888
36.2,0.283,0.472,0.123,0.0847,0.0377
44.2,0.247,0.43,0.137,0.115,0.0708
52.2,0.221,0.4,0.15,0.14,0.0893
38.7,0.254,0.467,0.134,0.0967,0.0486
34.1,0.3,0.46,0.116,0.084,0.0391
46.6,0.252,0.428,0.143,0.117,0.0592
49.6,0.226,0.407,0.152,0.135,0.0801
33.7,0.3,0.495,0.114,0.0673,0.0238
49.7,0.22,0.414,0.15,0.131,0.0847
40.6,0.268,0.438,0.132,0.105,0.0574
41.8,0.259,0.431,0.131,0.109,0.0703
50,0.221,0.411,0.151,0.134,0.0831
31.8,0.315,0.483,0.108,0.0681,0.027
32,0.304,0.488,0.109,0.0709,0.0284
37.4,0.281,0.466,0.13,0.0903,0.0321
51.8,0.203,0.392,0.16,0.15,0.0946
27.4,0.342,0.498,0.0901,0.0515,0.0188
41.9,0.259,0.449,0.138,0.103,0.0503
45.9,0.238,0.413,0.143,0.129,0.0766
38.3,0.281,0.457,0.125,0.0942,0.0424
65,0.172,0.341,0.163,0.18,0.144
34.4,0.3,0.472,0.117,0.078,0.0331
50.5,0.22,0.404,0.149,0.139,0.0883
28.9,0.323,0.498,0.101,0.0581,0.0202
37.8,0.279,0.446,0.128,0.0968,0.0492
29.2,0.311,0.497,0.104,0.0641,0.0237
30.1,0.316,0.483,0.103,0.0668,0.0319
49.5,0.135,0.373,0.176,0.182,0.134
40.8,0.259,0.444,0.135,0.107,0.0541
49.2,0.224,0.399,0.148,0.138,0.0911
48.8,0.229,0.407,0.149,0.133,0.0828
36.4,0.293,0.463,0.121,0.0849,0.0376
43.7,0.245,0.428,0.138,0.117,0.0714
43.2,0.247,0.427,0.143,0.121,0.0625
41.5,0.255,0.45,0.137,0.103,0.054
51.1,0.214,0.406,0.152,0.138,0.0895
48.8,0.229,0.412,0.151,0.131,0.0778
