Occupancy,RC1,RC2,RC3,RC4
RES1,9,15,1.5,0.5
RES2,3.5,4,1,0.5
RES3A,12,18,3,1
RES3B,12,18,3,1
RES3C,12,18,3,1
RES3D,12,18,3,1
RES3E,12,18,3,1
RES3F,12,18,3,1
RES4,11,20,2,1
RES5,11,20,2,1
RES6,11,20,2,1
COM1,8.5,15,1.5,1
COM2,8.5,15,1.5,1
COM3,8.5,15,1.5,1
COM4,12,18,3,1
COM5,8.5,15,1.5,1
COM6,16,30,3,2
COM7,10,19,3,2
COM8,8.5,15,1.5,1
COM9,12,18,3,1
COM10,7,14,1.5,0.5
IND1,10,19.5,3,1.5
IND2,10,19.5,3,1.5
IND3,10,19.5,3,1.5
IND4,10,19.5,3,1.5
IND5,15,28,5,3
IND6,7,13,2,1
AGR1,2.5,5,1,0.5
REL1,12,18,3,1
GOV1,12,18,3,1
GOV2,8.5,15,1.5,1
EDU1,12,18,3,1
EDU2,16,30,3,2
