Testbed,Hazard,Model_Type,Model_Name,(Intercept),IAGMIN,IUTIL,ICONS,IMANU,IWHOLE,IRETAIL,ITRANS,IPROFSER,IREALE,IEDU,IHEALTH,IART,IACCO,HS1I,HS2I,HS3I,MAGMIN,MUTIL,MCONS,MMANU,MWHOLE,MRETAIL,MTRANS,MPROFSER,MREALE,MEDU,MHEALTH,MART,MACCO,HS1M,HS2M,HS3M
Galveston,hurricane,main_model,totDDS,11.5602054823012,0.0,-0.426982727646255,-0.406006360539692,-0.51619370492747,-0.327381844420217,-0.327162190026336,-0.266126202644466,-0.362135261594201,-0.236759951339781,-0.109230497604848,-0.271057787261493,-0.257381180738855,-0.226525663367006,-0.508983504178261,-0.160657618251905,-0.231855361768872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galveston,hurricane,sector_model,DDS_ IAGMIN,-0.158505388210008,-0.221424124597485,-0.0006675887832196,-0.0001784971269455,-0.0024220870637537,-0.0005107727998045,7.5450987288795e-06,0.0,-0.0001687180372748,0.0002052593595876,0.0009119122381027,0.0001631917007338,0.0,0.0,-0.0001350299664341,-8.2208395033093e-05,-0.0001160509935726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galveston,hurricane,sector_model,DDS_ IUTIL,0.400270139162133,-0.0097353618413212,-0.332736463187724,0.0001946973843501,-0.0026198286468869,-0.000498648853486,-0.0010890165745972,-0.0008376693455604,-0.000251992135083,-0.000893864042244,0.0012648321006185,0.000158427698067,-0.0007171657924279,-0.0003609515363402,-0.0004455263702646,-0.0001372901922763,-0.0002205437934432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galveston,hurricane,sector_model,DDS_ ICONS,0.703743273461054,-0.007800859760662,-0.0060106352091738,-0.323404831457191,-0.0347465428182266,-0.035658624925835,-0.027841248747079,-0.0028740491963199,-0.0039248544910671,0.0017694393396337,0.0056310559583725,0.0027815228255881,0.0,0.0018373179485318,-0.0098734540734371,-0.000525512178674,-0.0024269496203464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galveston,hurricane,sector_model,DDS_ IMANU,1.15269265551539,0.0,-0.0133547899420694,-0.0354592839919175,-0.326062075010251,-0.0518173092886702,-0.0064447265036982,-0.0175698944894196,-0.0072504187933603,0.0006164231737845,0.0070993580755681,-0.0010390464130452,-0.0027930643090917,-0.0067238307834905,-0.0054327854633576,-0.0011703592938031,-0.0019658922361929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galveston,hurricane,sector_model,DDS_ IWHOLE,-0.173270175113674,0.0,-0.0009130716961841,-0.0069665474673007,-0.0090598330288422,-0.131973750329746,-0.0016317249065319,-0.0008107149153718,-0.0013967246026988,0.0,0.0015913479001402,-0.0008924411352117,0.0,-0.0009801117533632,-0.0019705629840792,-0.0006181703361111,-0.0009094996753812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galveston,hurricane,sector_model,DDS_ IRETAIL,1.95671602303186,0.0,-0.0049772452994014,-0.0159116436463125,-0.0028721675906309,0.0,-0.22684535980179,-0.0015175909217698,-0.0027103975543141,0.0,0.0028528135334982,0.0,0.0,0.001473321359273,-0.0085650219197421,-0.0026961020028033,-0.0040329190373836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galveston,hurricane,sector_model,DDS_ ITRANS,0.112541665957401,0.0,-0.0077795270190171,-0.004713783931473,-0.0203893929089496,-0.0177120417987097,-0.0068304969784767,-0.273723465477459,-0.0045659337329976,0.0022446557255119,0.0115623101869175,0.0014120659956987,0.0,0.0011784476483414,-0.0040240582638808,-0.0013673196787215,-0.0019669459479498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galveston,hurricane,sector_model,DDS_ IPROFSER,2.6819526703803,-0.0423910999487249,-0.0187570517369049,-0.0174015041961731,-0.0434322901421437,-0.0414140157924741,-0.0149333173204204,0.0,-0.31636279205477,-0.0118526956550597,0.0283584433804446,-0.0075178457278169,-0.01115040696915,-0.0014104866863621,-0.0152176036737288,-0.0052058182630641,-0.0074334137833638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galveston,hurricane,sector_model,DDS_ IREALE,0.23247316659588,0.0,-0.0028443928678284,-0.0005037451459133,-0.0023945019953556,-0.0011168128756632,-0.0012557590725194,0.0003756067028081,-0.0018464541615955,-0.261380100609097,0.0037809261828204,0.0,0.0,-9.59806131263105e-05,-0.0014555720283978,-0.0005376421208175,-0.0007557424513909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
