,sector,baseKAP
0,IAGMIN,2.879828
1,IUTIL,80.72537
2,ICONS,88.58714
3,IMANU,130.5496
4,IWHOLE,39.5624
5,IRETAIL,742.6952
6,ITRANS,39.27621
7,IPROFSER,341.1937
8,IREALE,132.2719
9,IEDU,176.2316
10,IHEALTH,131.416
11,IART,35.09628
12,IACCO,267.9408
13,MAGMIN,11.23948
14,MUTIL,230.4261
15,MCONS,282.3568
16,MMANU,941.9121
17,MWHOLE,280.5434
18,MRETAIL,3531.478
19,MTRANS,109.8632
20,MPROFSER,1643.779
21,MREALE,292.8196
22,MEDU,1363.513
23,MHEALTH,814.8701
24,MART,228.9991
25,MACCO,814.5115
26,HS1I,213.4641
27,HS2I,2131.946
28,HS3I,3014.367
29,HS1M,708.9388
30,HS2M,5142.598
31,HS3M,16504.37
