Testbed,Hazard,Model_Type,Model_Name,(Intercept),AG_MIN,UTIL_CONS,MANU,WHOLE,RETAIL,TRANS,INFO,FINANCE,REALE,PROF_MAN,ADMIN_EDU,HEALTH,ART,ACCO,OTHER,HS1,HS2,HS3,HS4
Joplin,tornado,main_model,totDDS,1.254063983,0,-0.148039182,-0.123718858,-0.119499097,-0.124214501,-0.121570498,-0.110760369,-0.124839528,-0.128628026,-0.113306709,-0.121785872,-0.134712596,-0.103659255,-0.117289512,-0.101313205,-0.086679738,-0.530931409,-0.33028758,-0.150966472
Joplin,tornado,sector_model,DDS _ AG_MIN,-0.100623685,-0.065331867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joplin,tornado,sector_model,DDS _ UTIL_CONS,-0.277165119,0,-0.191587293,-2.34E-05,-0.000792225,-0.000479418,0,0.000410514,0.000444261,0.001713684,0,0.000172898,0.000627851,0.000171316,0.00023714,1.90E-05,-2.39E-05,-0.009541905,-0.005181697,-0.001354631
Joplin,tornado,sector_model,DDS _ MANU,1.581830151,-0.00781296,0.007337116,-0.122871378,-0.003498366,-0.001836956,0.000464416,0.002797959,0.000615229,0.004205825,0,0.001284721,0.002780022,0.002613688,0.000817952,0.000532039,-0.001535576,-0.010108047,-0.005934952,-0.002657746
Joplin,tornado,sector_model,DDS _ WHOLE,0.446928974,0.008237422,0.001037279,0,-0.100037409,-0.000374498,0.000134539,0,0.000278158,0,-0.000915235,1.50E-05,0.000212458,0.00036611,0.000207978,0.00030432,-0.00071013,-0.004527377,-0.002798305,-0.001301659
Joplin,tornado,sector_model,DDS _ RETAIL,1.749608257,0,0.002151694,-0.000382631,-0.003753173,-0.114220569,-0.000544197,0,0,0.003635736,0,0.000412796,0.001342867,0.000159919,0.000649055,0.000308118,-0.002960783,-0.017939823,-0.011152719,-0.005314861
Joplin,tornado,sector_model,DDS _ TRANS,0.458941928,0.004655938,0.003206814,0.000116359,-0.001592976,-0.000990236,-0.125938185,0.001424303,0.000173335,0.001360312,0,0.000755536,0.001298644,0.001155401,0.000656485,0.000221742,-0.000968035,-0.005601997,-0.003576879,-0.001684585
Joplin,tornado,sector_model,DDS _ INFO,-0.078588167,0,0.000148362,0,-0.000190628,-8.55E-05,0,-0.124169708,0,0,0,0,4.87E-05,0,1.50E-05,0,-5.22E-05,-0.000617152,-0.000352925,-0.000174492
Joplin,tornado,sector_model,DDS _ FINANCE,-0.063444887,0,0.000319711,-5.61E-05,-0.000285212,-0.000185633,0,0,-0.140326981,0.000274526,0,2.25E-05,0.00017597,0,0.000303703,8.18E-05,-0.000151339,-0.001021849,-0.000624066,-0.00028232
Joplin,tornado,sector_model,DDS _ REALE,-0.162087683,0,0.000235508,0,-0.000195367,-0.00013719,0,0,0,-0.167011906,0,0,7.24E-05,0,2.24E-05,0,-0.000105677,-0.000635366,-0.000431127,-0.000210089
Joplin,tornado,sector_model,DDS _ PROF_MAN,0.099189128,-0.001133283,0.001723352,0,-0.001108512,-0.000640399,0.000110469,0.000222864,0.00046722,0.000731265,-0.119478494,0,0.00045057,2.60E-06,0,0,-0.000654826,-0.003628682,-0.002343577,-0.001065432
Joplin,tornado,sector_model,DDS _ ADMIN_EDU,0.691031918,-0.002167321,0.002383932,-0.000244345,-0.001357468,-0.00102788,0.000344282,1.45E-05,0.001972744,0.003590563,-0.000698682,-0.130030845,0.001059293,0,0.001708942,0.000662611,-0.000722471,-0.004378018,-0.002852095,-0.00137055
Joplin,tornado,sector_model,DDS _ HEALTH,1.808032059,0.004407859,0.012673572,-0.00111431,-0.005785395,-0.003914841,5.66E-05,0.002143192,0.004058,0.010683759,0.000109667,0.001304711,-0.146293491,0.0067288,0.002243264,0.000879076,-0.002936581,-0.015527873,-0.010259749,-0.004866869
Joplin,tornado,sector_model,DDS _ ART,-0.104564585,0,0.000135502,0,-9.73E-05,-6.55E-05,0,0,0,0,0,0,2.98E-05,-0.131543697,0,0,-6.56E-05,-0.000431196,-0.000274099,-0.000138246
Joplin,tornado,sector_model,DDS _ ACCO,0.196798096,0,0.001005015,-0.000149513,-0.000640386,-0.000397254,0,0,0.000857401,0.001226913,0,0.000303943,0.000451805,0,-0.127839972,0.000294915,-0.000233651,-0.001622003,-0.000988657,-0.00054886
Joplin,tornado,sector_model,DDS _ OTHER,-0.215976248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107152736,0,-0.00023402,-0.000165516,-6.51E-05
Joplin,tornado,sector_model,DDS _ HS1,-0.535761377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074041419,0,0,0
Joplin,tornado,sector_model,DDS _ HS2,-1.851704532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.443287151,-0.000155853,-0.000228287
Joplin,tornado,sector_model,DDS _ HS3,-1.971032738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.275889224,0
Joplin,tornado,sector_model,DDS _ HS4,-1.631420033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000151726,0,-0.12642944
