"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","AG_MIA","UTILA","CONSTA","MANUA","WHOLEA","RETAILA","TRANSA","INFOA","FINANCEA","REALEA","PRO_MANA","ADMINA","EDUA","HEALTHA","ARTA","ACCOA","OTHERA","AG_MIB","UTILB","CONSTB","MANUB","WHOLEB","RETAILB","TRANSB","INFOB","FINANCEB","REALEB","PRO_MANB","ADMINB","EDUB","HEALTHB","ARTB","ACCOB","OTHERB","HS1A","HS2A","HS3A","HS4A","HS1B","HS2B","HS3B","HS4B"
"Lumberton","flood/hurricane","main_model","totDDS","-1.08804410097775","-0.20880473020626","-0.189725968833381","-0.177104818204356","-0.162079175294407","-0.162499327261357","-0.181655327610329","-0.155570411969532","-0.155721007853248","-0.182532623649115","-0.146761920080924","-0.16659923445043","-0.135536549221268","-0.15264985075433","-0.164325826725281","-0.164350786869665","-0.162785403261038","-0.134870380057494","-0.212454107980173","-0.195508826339575","-0.176109865242817","-0.156809509016579","-0.16140068760386","-0.172955374896365","-0.159740066266912","-0.215985429879254","-0.172714735774524","-0.136684168591058","-0.165419607922388","-0.133383144682887","-0.147679139266524","-0.159219862129719","-0.176298906929468","-0.150165742927985","-0.131142342503521","-0.191261263400428","-0.196446231172981","-0.199567802956678","-0.200619070446183","-0.161404017750718","-0.163675958054768","-0.164692998420983","-0.164720886796672"
"Lumberton","flood/hurricane","sector_model","DDS _ AG_MIA","-0.198716059163266","-0.194347814899011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lumberton","flood/hurricane","sector_model","DDS _ UTILA","-0.233474003932387","0","-0.180835996274997","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lumberton","flood/hurricane","sector_model","DDS _ CONSTA","-0.839677358505229","-0.000161764699007982","0","-0.172914290332202","-0.00197353299005317","-0.00377714088970869","-0.00237157121420915","0","-0.000293411541629018","-0.000337344655838477","0","-0.000219207501217293","0","-7.0954247579847e-05","-0.000182057479514462","0","-9.93861095571073e-05","0","-2.38786890994069e-05","-0.000139539418009954","0","-8.75421623658943e-06","-4.73608404137426e-05","-0.000249600944314085","0","0","-3.39534938734802e-06","0","0","0","-4.60830789814052e-05","0","-9.69649920183394e-05","-4.68855115418249e-05","-3.11062501965153e-05","0","-0.000279104774962411","-0.000431863899961215","-0.000389972833544327","-0.000278670189458696","-0.000409759044436282","-0.000435748805237769","-0.000466654024288679"
"Lumberton","flood/hurricane","sector_model","DDS _ MANUA","0.410534784572776","-0.0183949511442562","0.000723458667393208","-0.00472613997199127","-0.136775072035529","-0.0152255434209788","-0.00103162206160492","0.000540011427462682","0","-0.00218667992174961","0.0013082063846658","-0.00455843962070358","-0.00134082149570391","0","-0.0015588346116159","0","-0.00310576956337653","7.8085724765144e-05","-0.000255526093592943","-0.000211610945758088","-0.00057878359605442","-0.000133466527254686","-0.000672337272877746","-0.000987715010044183","-0.000222911998543268","0.00117174393277479","-0.000373397942790847","-0.00117478049643003","0","0","-0.000234002000653819","-0.000155844667697349","0","-0.000145054788501932","-0.000334635905754614","-0.00161102154091002","-0.00102219960682934","-0.00167287818200639","-0.00168947338243204","-0.00174845457371858","-0.00211520086347526","-0.00223013342180043","-0.00214951852921311"
"Lumberton","flood/hurricane","sector_model","DDS _ WHOLEA","-0.222138132897827","-0.00405726694351362","3.06287264615289e-05","-0.00261175639143969","-0.00299588242624208","-0.105870891490262","-0.000466377801572763","-0.000605495113333423","-0.00133355402317822","0","0","-0.000307020242342976","-2.52104591509096e-06","-0.000197560682856409","-0.000688891716441465","0","-0.000992486375491015","-0.000172537573088908","0","0","0","5.23270957379795e-05","0","-0.00015639068641694","0","0","0","0","0","0","-4.84185903220054e-06","-2.82306214880965e-05","0","-5.96433766417579e-05","-3.00021704334343e-05","-0.000657635220734653","-0.000800939659289569","-0.000866918655453239","-0.000872099888584518","-0.00015877808372682","-0.000487769203549194","-0.000506634301564801","-0.000506159240345463"
"Lumberton","flood/hurricane","sector_model","DDS _ RETAILA","0.501622715743608","0.00202001591646108","-0.000652320641579287","-0.00585799494783593","-0.00107441746177158","-0.00482626252011537","-0.160803203512727","-0.00109361042048213","0.00343541413572785","-0.00246001108410254","0.00183409704578959","-0.000583741030626923","0","0","-0.00019563791451885","-0.00145433632751408","-0.000675952302558602","-0.000630051165531439","0","-0.000529961659044498","-0.000517977760688668","3.68273292592924e-05","-0.000259879959578742","-0.000869837783285481","0","0.00374544856841328","-0.000417547630398417","0.00242223287710951","9.28075931188101e-05","-0.00131597095157906","-0.000431280818977433","4.5129120820222e-05","-4.67379714386889e-05","-0.000242253532968698","-7.04338111625233e-05","-0.00510792428395174","-0.00219698160468633","-0.0031126506880026","-0.00315235841946922","-0.00117496255443616","-0.00172372614550221","-0.0017168844824085","-0.00185246312854894"
"Lumberton","flood/hurricane","sector_model","DDS _ TRANSA","-0.235659109269199","0","0","0","-0.00014521989783929","-0.000289396204917399","-0.000214908602277207","-0.153883545427913","0","-8.04056491510818e-05","0","0","0","0","0","0","-3.41837976484403e-06","0","0","0","0","0","0","-2.69931605068303e-05","0","0","0","0","0","0","0","0","0","0","0","0","-2.1205471597995e-06","-9.92490097421182e-05","-0.000125918168728407","-1.05555177724745e-05","-0.00014834284883675","-0.00018033362179504","-0.000173410348825235"
"Lumberton","flood/hurricane","sector_model","DDS _ INFOA","-0.330824900970249","0","-1.43217953439862e-05","0","-0.000254573039678361","-0.000748897385126257","-0.000258933329109318","0","-0.186065470292532","-0.000318220521098695","0","-0.000411612438281945","0","-2.40009183825299e-05","-0.000117017071573516","0","-0.000113492679295317","-9.11313570413121e-05","0","0","0","0","0","-3.94716625250677e-05","0","0","0","0","0","0","0","0","0","0","0","0","-6.34015817479006e-05","-0.000124867573140936","-0.000179952595688298","-9.06984249794504e-05","-0.000117443228083513","-0.000127079384235034","-0.000142708568315056"
"Lumberton","flood/hurricane","sector_model","DDS _ FINANCEA","-0.167788559236772","-8.44910670190187e-06","-0.000254112625248253","0","-0.000737170332284327","-0.000580979398192956","-0.00100038695007497","-0.000480181337585451","-0.000388462400446929","-0.162850615239839","-0.000355020481861403","-0.000959729318678878","-0.000503495793731055","0","-0.00104619077260081","-0.000107992247858283","-0.000255122808656082","-0.000510095515325373","-1.39752129317743e-05","-7.76287976301039e-05","0","0","-6.15413297663297e-05","-0.000343350743048521","0","0","-5.6848257225689e-05","0","0","1.55887252628991e-05","-4.86322036707709e-05","-8.17405059730735e-07","0","-3.89209762757181e-05","-0.000121567619476008","-0.000542094391259736","-0.000764317064101767","-0.000759985693125354","-0.000858283913353711","-0.00098906315018301","-0.000827440356670675","-0.000818052191242706","-0.000825007734589049"
