"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","AG_MIA","UTILA","CONSTA","MANUA","WHOLEA","RETAILA","TRANSA","INFOA","FINANCEA","REALEA","PRO_MANA","ADMINA","EDUA","HEALTHA","ARTA","ACCOA","OTHERA","AG_MIB","UTILB","CONSTB","MANUB","WHOLEB","RETAILB","TRANSB","INFOB","FINANCEB","REALEB","PRO_MANB","ADMINB","EDUB","HEALTHB","ARTB","ACCOB","OTHERB","HS1A","HS2A","HS3A","HS4A","HS1B","HS2B","HS3B","HS4B"
"Lumberton","flood/hurricane","main_model","totDFFD","95.033637968543","-0.199330807296771","-0.145287926230909","-0.128873008698974","0.144203378651126","0.00441122142014997","-0.0333701966848591","-0.0326625335763399","0.463402564918115","0.125573757128765","-0.20888870983899","-0.0597344496272822","0.121762908598203","0","0.0577550590101946","0.0575482781083419","0.136317274017626","-0.0874406983829662","-0.0283559418756424","-0.0331784705605802","0.11218427033776","0.268296629855292","0.0114636324156217","0.0952132387622921","-0.00161960914490975","-0.119354140634323","-0.0548580973725034","-0.128916733329341","-0.0375154469613054","0.197992980789621","0.0502253966508452","0.00284252855746965","0","0","-0.0457613755611913","-1.12174096912168","-1.10225286977842","-1.11202581155296","-1.11152123700673","-0.602939895973604","-0.611894555000205","-0.613982790915981","-0.613929394781341"
"Lumberton","flood/hurricane","sector_model","DFFD _ AG_MIA_L2WA","0.0158426411252967","0.00171758251013156","0","0","-5.69350596634663e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1.23144251814145e-06","-4.42882137628597e-06"
"Lumberton","flood/hurricane","sector_model","DFFD _ AG_MIA_L2IA","0.0127636582291192","0.00170319287148769","0","0","-5.32601849342968e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1.27308256725411e-06"
"Lumberton","flood/hurricane","sector_model","DFFD _ UTILA_L3WA","0.0250236617717053","0","0.0011020446781549","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1.95401431667645e-06","-5.05400244435698e-06"
"Lumberton","flood/hurricane","sector_model","DFFD _ UTILA_L2BA","0.0246561724065278","0","0.00110448353726348","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2.21628946395971e-06","-5.26431712253527e-06"
"Lumberton","flood/hurricane","sector_model","DFFD _ UTILA_L3IA","0.02384246499629","0","0.00325634594121168","0","0","-5.63982851301104e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-5.8278628106843e-06","0","0","-1.47510179943018e-05","-1.81878823910599e-05"
"Lumberton","flood/hurricane","sector_model","DFFD _ CONSTA_L1WA","-0.801950612208388","-0.000217274277372357","0","0.00223695158417336","-0.000887049560269122","-0.00160627827878122","-0.00161291542283041","0","0","-1.13131614500955e-05","0","0","0","0","-0.00011210487479928","-0.000354717880585881","-0.000613917400681534","0","0","0","0","0","-3.96332529829537e-06","-7.82507916878881e-05","0","0","0","0","0","0","0","0","0","0","0","0","-0.000113103445616545","-0.000157381018813028","-0.000185953067760199","-0.000101760904143251","-0.000211233380338216","-0.000217705178587275","-0.00022218430189101"
"Lumberton","flood/hurricane","sector_model","DFFD _ CONSTA_L2WA","-1.37840589836488","-0.000506696827388046","-1.68708975941311e-05","0.00663325450618764","-0.00324133053640852","-0.00699188375707681","-0.00413378801283048","0","0","-0.000998767063571352","0.000971637842816076","0","-0.000793883088351169","-9.77372795941327e-05","-0.000417661611896675","0","-0.000328601401186927","-1.27518893443656e-05","-1.83026762563986e-05","-4.31475173831397e-05","0","-1.6551891044837e-05","-0.000273535538927168","-0.000381361511797704","0","0","-4.24514402809665e-05","0","0","0","-5.94303712791347e-05","-6.15134336013981e-06","0","-2.99146534711532e-05","-7.10368601924891e-05","-0.000362807215498774","-0.000466864942345891","-0.000513193553314777","-0.000567378288838249","-0.00070765909771185","-0.000853036583273383","-0.000852735184790608","-0.000857154434707412"
"Lumberton","flood/hurricane","sector_model","DFFD _ CONSTA_L3WA","-1.80092340277851","-0.00138699779493341","-0.000545820141347871","0.0103458537020978","-0.00519150105873296","-0.0101210927180099","-0.00682149551042597","-0.000169136054812552","0","-0.0023731139530515","0","-0.000271201080437552","-6.24736530704586e-05","-0.000396310843475126","-0.00138842889523785","-0.000276612620369113","0","-0.000206284058745753","-0.000252995583108933","-0.000321342435077952","0","-0.000153870788637705","-0.000625560346247876","-0.000796622540062191","0","0","-0.000280327700775379","0","-0.000104944937597489","0","-0.00024227909820244","-0.000124468237558093","0","-0.000186428458799309","-0.0002315053440538","-0.000477473248097288","-0.000496916756791203","-0.000551346573623499","-0.000625166659736697","-0.00132676149127868","-0.00148581397121874","-0.00148203935545247","-0.00148538715482186"
"Lumberton","flood/hurricane","sector_model","DFFD _ CONSTA_L1BA","-1.02829265752192","-0.000380726508748451","0","0.00382540051633078","-0.0015417800604393","-0.00448657470573834","-0.00247727211344157","0","0","0","0.000180286278938534","0","0","-5.50738751462296e-05","-0.000283985974538152","-0.000213896637780608","-0.000326776595319218","0","0","0","0","0","-2.63997506230942e-05","-0.000102259016148302","0","0","0","0","0","0","-1.70440067074288e-05","0","0","0","-6.08518364571903e-06","-0.000213645446078314","-0.000364597952152948","-0.000401433389146794","-0.000444476767758194","-0.000289080609632236","-0.000419325830479052","-0.000425058297515218","-0.000428752510132239"
