,sector,baseKAP
0,AG_MIA,136.1407
1,UTILA,179.0113
2,CONSTA,103.8927
3,MANUA,328.3917
4,WHOLEA,120.1557
5,RETAILA,647.0503
6,TRANSA,129.7731
7,INFOA,18.62852
8,FINANCEA,94.09998
9,REALEA,84.02082
10,PRO_MANA,88.87079
11,ADMINA,37.08617
12,EDUA,256.5494
13,HEALTHA,352.0501
14,ARTA,32.98701
15,ACCOA,436.5151
16,OTHERA,570.9037
17,AG_MIB,668.3757
18,UTILB,413.1753
19,CONSTB,137.2915
20,MANUB,758.7977
21,WHOLEB,222.0249
22,RETAILB,853.6339
23,TRANSB,289.3249
24,INFOB,30.25995
25,FINANCEB,451.3223
26,REALEB,75.96958
27,PRO_MANB,102.774
28,ADMINB,47.42921
29,EDUB,583.6755
30,HEALTHB,560.355
31,ARTB,65.63859
32,ACCOB,847.5539
33,OTHERB,1106.271
34,HS1A,77.57334
35,HS2A,297.5992
36,HS3A,756.9165
37,HS4A,1400.018
38,HS1B,184.4769
39,HS2B,775.5885
40,HS3B,1549.249
41,HS4B,2332.112
