"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","DRY_BULK","LIQUID_BULK","CONTAINER","WAREHOUSE","AGRI","MINING","UTIL","CONST","MANU","WHOLE","RETAIL","TRANS","INFO","FINANCE","REALE","PROF","MANAGE","ADMIN","EDU","HEALTH","ART","ACCO","OTHER","HS1","HS2","HS3"
"Mobile","hurricane","main_model","totDY","3.62097362982632","0","0","0.00400589239750462","0.0341518260295303","0","0","0","-0.0244420191485282","-0.021425002581498","-0.0280202660406534","-0.034222111785009","-0.0119536706821565","-0.0196452121989614","0","-0.0630981988076364","-0.0277049200054964","0","-0.0328818089892819","-0.0261532134970828","-0.0467390880848775","-0.00164896297530149","-0.0340451042677485","-0.0238429390362962","-0.0508859458233607","-0.0555575168569942","-0.0918893651969237"
"Mobile","hurricane","sector_model","DY _ HH1W","-0.180287916390611","0.00141483975143149","0.000120329745968823","0","0.000192186146411202","0","0","0","0","0","-5.60135549419954e-05","-0.000142622026124252","0","0","0","-9.61786324742311e-05","-6.46294974235127e-07","0","-0.000133507214738063","-0.000118972462477333","-1.80722917128995e-05","-9.08295641076603e-06","-0.000578446245826521","-9.02287201608905e-05","-0.000253193129627236","-0.000142210699896706","6.50156886483081e-05"
"Mobile","hurricane","sector_model","DY _ HH2W","0.338164754301957","0.00293109075029218","0.000106465138891791","0.00143792196339806","0.00183851564753753","0","0","0","-0.000601070137737613","-3.42235211072362e-05","-0.00130049612592929","-0.00178273982529235","-0.000241261961290139","-0.000722173821947079","0","-0.00254751029143352","-0.000491718552076758","0","-0.00231122126395013","-0.000662053532566085","-0.00116831836559767","-3.03739119520186e-05","-0.00274492099823223","-0.000770872913289567","-0.0038347746399158","-0.00212458270459734","0.000584720517308173"
"Mobile","hurricane","sector_model","DY _ HH3W","1.79672039444179","0","0.0012967542812661","0.00444169396624982","0.0088867351511594","0","0","0","-0.00442587668279997","-0.00186039420866142","-0.00466500006365087","-0.00609281040037927","-0.000579839694002902","-0.00292157900696272","0","-0.0141571710137542","-0.00308706506324518","0","-0.00538813708057148","-0.00345259488999814","-0.00389018613328879","0","-0.00560545532068644","-0.00495900313588005","-0.0202876696580947","-0.0107551416435526","0.00772182197123612"
"Mobile","hurricane","sector_model","DY _ HH4W","1.04490495502597","0","0","0.010722839956742","0.0128417225128894","0","-0.0104141284292722","0","-0.014595604739331","-0.00933276963415936","-0.0119826535309921","-0.0121616256647348","-0.00492373484520317","-0.0110420080339533","-0.00468059787143226","-0.0292158004682958","-0.0118720738927575","0","-0.0119466980855945","-0.00965262831747558","-0.0137078848347284","-0.00120396698648105","-0.00946449994770888","-0.0103078514929304","-0.00279694625483218","-0.0160677676134782","-0.0545416177705077"
"Mobile","hurricane","sector_model","DY _ HH5W","1.57356127995358","0.00115704980610379","0.00208579248754808","0.00737925022227719","0.00888783810890535","0","-0.0047540749973811","0","-0.00479985046791268","-0.00536657590292272","-0.00796731709664439","-0.00378974646917633","-0.00374389503318274","-0.00559114027796156","-0.000893661952318365","-0.00744130683751991","-0.0109882314881086","0","0","-0.00342727848778435","-0.00880269628543594","-0.00112038776691018","-0.000864275433697763","-0.00299677946571367","-0.00344573279894503","-0.00886518123179548","-0.026037577845228"
"Mobile","hurricane","sector_model","DY _ HH1B","-0.129533367587399","0.00259345832092777","0.000274343840356149","0","3.61151003275608e-05","0","0","0","0","1.54068114310003e-05","-5.30211924071294e-06","-0.000356736701376556","-2.28109128502929e-05","0","0","0","0","0","-0.000691607371161881","-0.000151096325332495","-0.000173900094221993","0","-0.000854281910914393","-7.02523184510306e-05","-0.000357824168451123","-0.000207116008065152","7.06885706407884e-05"
"Mobile","hurricane","sector_model","DY _ HH2B","0.606922292199858","0.00252867502482079","6.60445121652736e-05","0.000333158417300155","0.00116468909666397","0","0","0","-0.000459834426545797","0","-0.000544019832574373","-0.0018607620145419","-0.000397249987796078","-0.000929934388661259","0","-0.00103204736951254","0","0","-0.00462246245893308","-0.000378849124175007","-0.00390231624456737","0","-0.00368792175531428","-0.000240454004000001","-0.00468339010441998","-0.00271325269076473","0.000277169661968926"
"Mobile","hurricane","sector_model","DY _ HH3B","1.76292311423853","0.00557801797408873","0.00154843161566105","0.00207616916901237","0.00322067496702431","0","0","-0.00616780040110925","-0.000222591148666701","-0.00115907143580265","-0.00165980601905339","-0.00426168625319764","-0.00148997620110424","-0.00436951798760647","-3.69615199029843e-06","-0.00594663531883422","-0.00066540815782574","0","-0.00646668898173221","-0.0041557105143923","-0.00760827879255909","-0.000213711978999461","-0.00605501872377525","-0.00156836727481639","-0.012007187713566","-0.00647249839281075","0.00334415421376602"
"Mobile","hurricane","sector_model","DY _ HH4B","-1.4290563812573","0","0","0","5.34608309228967e-05","0","0","0","-0.00249382869323953","-0.00215439335211321","-0.000738704749049613","-0.00238665872652805","-0.00117519222813244","-0.00180439188003387","0","-0.00437248689117193","0","0","-0.000851982353355482","-0.00413882147813888","-0.00449566909499653","-0.00015865061782246","-0.00243257244612348","-0.00115111319508285","0.000225607279738639","-0.00368159082374832","-0.0150791728095077"
