"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","CONST","RETAIL","SERV","HEALTH","ACCOM","REST","AGRI","MANUF","UTIL","HS"
"Seaside","earthquake/tsunami","main_model","totDFFD","-21.3098249860551","-0.0010121170285423","-3.66095815461398e-05","-1.68183923490438e-05","-0.00118287991257139","-0.000968722036802668","0.00251753415924843","0","0","-0.00271254869896328","-0.00158637833793981"
"Seaside","earthquake/tsunami","sector_model","DFFD _ CONST_L1","-4.66731367769267","-7.99280697063777e-05","-4.80208651628003e-05","-5.97431520476007e-07","2.45083164528851e-05","-8.20723900673853e-05","-0.000174546717559971","0.000116618224161489","-2.11363825005451e-05","9.74030965660118e-05","-1.65923243931502e-05"
"Seaside","earthquake/tsunami","sector_model","DFFD _ CONST_L2","-2.42503297989162","-3.62787578781185e-05","-2.56416773435545e-05","1.41045706829717e-06","1.74461195234955e-05","-4.07813541439831e-05","-4.86818167374482e-05","3.60884757598991e-05","-1.048155299824e-05","4.25739508414756e-05","-9.38917063435366e-06"
"Seaside","earthquake/tsunami","sector_model","DFFD _ CONST_L3","-6.98583123009376","-0.000123063385253003","-5.4156304975815e-05","-6.04226150935379e-06","7.7081349580951e-05","-0.000133066767312035","-7.39885594151532e-06","0.000241911632229186","-6.72010827511824e-05","0.000418225058656835","-4.21235686299425e-05"
"Seaside","earthquake/tsunami","sector_model","DFFD _ CONST_L4","-2.48924290888879","-4.1595954335489e-05","-1.02574516258504e-05","-2.3118239109479e-06","2.16629549458586e-05","-4.4140591763212e-05","1.44824620817588e-05","4.08307675108601e-05","-2.42917108211949e-05","4.17109750876961e-05","-1.26884696420882e-05"
"Seaside","earthquake/tsunami","sector_model","DFFD _ CONST_L5","-1.52951074540626","-2.41943081140329e-05","-8.31375111911903e-06","-1.41709133370708e-06","7.72963984890212e-06","-2.50612342220973e-05","1.01090625267903e-05","5.67993941076817e-07","-6.82974506784339e-06","3.72548452269218e-05","-4.48515611492244e-06"
"Seaside","earthquake/tsunami","sector_model","DFFD _ RETAIL_L1","0.56057328564663","-8.54813504700191e-05","0.00040019336080256","-3.63083075315412e-05","-2.86511169077732e-05","-3.4323873033257e-05","-0.000707474519754022","0","-0.000114570029554928","0","-0.000134407615833109"
"Seaside","earthquake/tsunami","sector_model","DFFD _ RETAIL_L2","0.733941840884004","-6.55550600044206e-05","0.000433506634603712","-2.29260875527923e-05","1.25746049155363e-05","-3.43207718977189e-05","-0.000433092197854336","0","-0.000134179194493632","-1.54999724141527e-05","-0.000160093835633684"
"Seaside","earthquake/tsunami","sector_model","DFFD _ RETAIL_L3","1.25593128496192","-1.163461543922e-05","0.000287987825063381","-2.8005931887987e-05","1.9127788875411e-05","1.00616728025416e-05","-1.24039192529996e-06","0","-0.000106491771649132","0.000288905410313721","-9.36915333324399e-05"
"Seaside","earthquake/tsunami","sector_model","DFFD _ RETAIL_L4","-0.00652489329760302","-9.74627271543702e-07","1.82734754713895e-05","-1.64274689780415e-06","4.4575858181509e-09","0","3.36945006522395e-06","0","-6.24264214892003e-06","0","-5.38071382161328e-06"
"Seaside","earthquake/tsunami","sector_model","DFFD _ RETAIL_L5","-0.121426673947028","-7.2478378366866e-06","3.11678182948511e-05","-3.51449065173337e-06","-5.02931236267862e-07","-3.49380317752227e-06","1.02254860200396e-05","0","-8.65794882914269e-06","5.95439430059135e-06","-8.5299646538654e-06"
"Seaside","earthquake/tsunami","sector_model","DFFD _ SERV_L1","1.72004286458759","3.0726939758723e-05","-0.000106526338932679","0.000104644469361661","-2.12411240869601e-05","-4.75424361046496e-06","-0.00078351216473527","-2.31950557626509e-05","-1.4022879212632e-06","2.56852154667382e-05","-7.55786184551214e-05"
"Seaside","earthquake/tsunami","sector_model","DFFD _ SERV_L2","0.909983260806044","3.37183455305554e-05","-7.0239389420513e-05","7.10779089388092e-05","1.31822924436314e-05","-4.88074233974854e-07","-0.000264089246356375","-1.24056353707815e-05","-2.72001212134897e-06","0","-4.96349951620239e-05"
"Seaside","earthquake/tsunami","sector_model","DFFD _ SERV_L3","3.60614777097633","0.000131498214209356","-2.69616642504605e-05","0.000119508808002054","5.65859953047218e-05","6.18891352164019e-05","-6.25654284915302e-05","-0.000175399819766075","-8.02137370582008e-05","0.000689721092324404","-0.000126468932247229"
"Seaside","earthquake/tsunami","sector_model","DFFD _ SERV_L4","0.604401683842684","1.94790265671434e-05","7.55713848013551e-06","2.75670275916142e-05","8.94660072813424e-06","8.50843483637021e-06","2.3183284685149e-05","-1.10478499356924e-05","-2.74030999763978e-05","-1.71175398290152e-05","-2.94953781159722e-05"
"Seaside","earthquake/tsunami","sector_model","DFFD _ SERV_L5","-0.0966678221789197","0","-6.68831673546415e-06","2.33171792153684e-05","-8.51126607160255e-07","-7.18013673970712e-06","3.45950565570285e-05","-6.89879380677658e-07","-6.41057695475659e-06","5.0300058017552e-05","-1.95796837102988e-05"
"Seaside","earthquake/tsunami","sector_model","DFFD _ HEALTH_L1","0.330865178624776","2.42237658790779e-05","-3.51660058353521e-05","-1.6012125503173e-05","-9.07173829136854e-05","7.6727347035566e-06","-0.000241349877590516","0","-4.96690096467534e-06","5.55423209744699e-05","-3.63636442939802e-05"
"Seaside","earthquake/tsunami","sector_model","DFFD _ HEALTH_L2","1.35008515907054","8.1152823943473e-05","-9.15917064090632e-05","-2.61923826339241e-05","-0.000181808411804707","2.0765315693557e-05","-0.000334500010995993","-4.03331792173936e-05","-1.62423116387366e-05","0.000108613135926285","-9.11421989561746e-05"
"Seaside","earthquake/tsunami","sector_model","DFFD _ HEALTH_L3","2.39303025840828","9.89572203467501e-05","-2.12228054177577e-05","-4.05508852378189e-05","-0.000150399725268063","4.96718529886935e-05","-5.27699243367044e-05","-6.13383838189779e-05","-5.07000295429e-05","0.00043553117202838","-9.10895313630022e-05"
"Seaside","earthquake/tsunami","sector_model","DFFD _ HEALTH_L4","0.63325124155887","2.69409155958347e-05","2.50491099363319e-06","-1.56762436024818e-05","-5.82191505429558e-05","1.35079897651514e-05","8.79887824938908e-06","-6.22637992253375e-06","-2.50540849712819e-05","1.44468270178823e-05","-3.28960033727927e-05"
"Seaside","earthquake/tsunami","sector_model","DFFD _ HEALTH_L5","0.037040187205157","8.15979996725526e-06","-7.19737076913861e-06","-1.41888090641361e-05","-5.62216972792186e-05","6.96888017482816e-07","1.70574019358419e-05","-4.60142689858341e-06","-8.43991742724005e-06","6.60132041836888e-05","-2.29992115949255e-05"
"Seaside","earthquake/tsunami","sector_model","DFFD _ ACCOM_L1","-0.455517208922501","-3.13994841662684e-05","-1.23993039480034e-05","-4.65308163057017e-06","1.41948390897668e-06","-4.66218507126772e-06","-7.22334129148906e-05","0","-9.80164602992008e-07","1.33752867484419e-05","-1.09943103968202e-05"
"Seaside","earthquake/tsunami","sector_model","DFFD _ ACCOM_L2","-0.722332745063217","-0.000106111294938226","-4.91876788480667e-05","-1.14155871891575e-05","2.1456372280165e-05","-1.5745574085107e-05","-0.000147636182967559","0","-7.17278267395433e-06","4.67645007822795e-05","-4.22169694838395e-05"
"Seaside","earthquake/tsunami","sector_model","DFFD _ ACCOM_L3","-0.151937259268396","-1.16692886965665e-05","-2.07273615891697e-06","-2.65686361757999e-06","3.31368502058609e-06","0","-1.966224156821e-06","0","-2.63059711373677e-06","2.64359338272565e-05","-6.31595136224309e-06"
"Seaside","earthquake/tsunami","sector_model","DFFD _ REST_L1","-0.610024497982955","0","-7.08930312551539e-05","-3.65157935145962e-05","-5.49546175367364e-05","-2.66250760954821e-05","0.00298062001391585","0","0","-6.71663895588698e-05","-0.00012093422387709"
"Seaside","earthquake/tsunami","sector_model","DFFD _ REST_L2","-0.610122613094841","1.19129304518478e-05","-4.91468400029463e-05","-1.37008711714438e-05","-1.03675867302956e-05","-1.40062453348853e-05","0.00194309235202346","0","0","-6.87632466831817e-05","-7.6574642793678e-05"
