Testbed,Hazard,Model_Type,Model_Name,(Intercept),ART_ACC_R1,ART_ACC_R2,ART_ACC_R3,ART_ACC_R4,ART_ACC_R5,ART_ACC_R6,ART_ACC_R7,COMMER_R1,COMMER_R2,COMMER_R3,COMMER_R4,COMMER_R5,COMMER_R6,COMMER_R7,CONS_R1,CONS_R2,CONS_R3,CONS_R4,CONS_R5,CONS_R6,CONS_R7,EDU_R1,EDU_R2,EDU_R3,EDU_R4,EDU_R5,EDU_R6,EDU_R7,HS1_R1,HS1_R2,HS1_R3,HS1_R4,HS1_R5,HS1_R6,HS1_R7,HS2_R1,HS2_R2,HS2_R3,HS2_R4,HS2_R5,HS2_R6,HS2_R7,HEALTH_R1,HEALTH_R2,HEALTH_R3,HEALTH_R4,HEALTH_R5,HEALTH_R6,HEALTH_R7,MANU_R1,MANU_R2,MANU_R3,MANU_R4,MANU_R5,MANU_R6,MANU_R7,RELIG_R1,RELIG_R2,RELIG_R3,RELIG_R4,RELIG_R5,RELIG_R6,RELIG_R7,UTIL_R1,UTIL_R2,UTIL_R3,UTIL_R4,UTIL_R5,UTIL_R6,UTIL_R7,AG_MI_R1,AG_MI_R2,AG_MI_R6,AG_MI_R7
SLC,earthquake,main_model,totMIGT,51.7536859126799,-0.109027111159015,-0.0718684185790902,-0.0740334678976143,-0.0639251211113415,-0.0586596477241091,-0.0852826811428073,-0.327185220531478,-0.0892110180531389,-0.0692972255858411,-0.0806449082919401,-0.0822022880120039,-0.0672340116354959,-0.0920945186117828,-0.190873753537604,-0.0398659331026395,0,-0.0635146662197115,0.0,0.0,0.0,1.28915582012162,0,-0.0585400944355085,0.0,0.0,-0.0352970604329008,-0.22600743170486,0.491488889880511,-0.294434489955191,-0.330322929019995,-0.342916016835596,-0.272167528614979,-0.239264338668342,-0.3345915665822,-0.886428781670051,-0.286485018854101,-0.33046744770008,-0.340660603362855,-0.26827799474697,-0.23379675635464,-0.332518006413374,-0.887709474393679,-0.175861116807066,-0.0730792557577953,-0.0719847713498085,-0.0684205277632819,-0.0724680010142012,-0.0877022473748104,-0.161476406777953,-0.0601820415416998,-0.809856393703089,-0.048916819179217,0,-0.0419481412511297,-0.0949323715500932,-0.270674624997786,-0.0991315466216097,-0.0767641133437638,-0.0781186489753121,-0.0685742622564805,-0.0831101165475944,0.096150033416908,-0.721262449728953,-0.0445567829313157,-0.0339229194082688,-0.0485847281675476,-0.007324941562743,0.0,-0.0637707004197908,-0.862365981398391,0.0,0.0,0.0,0.0
SLC,earthquake,sectorRegion_model,MIGT_ HH1_R1,-0.187793234310407,-0.0016619440972415,-7.33411605261053e-05,0.0,0.0,0.0,0.0,0.0,-0.0019281003348138,-6.97889403000531e-05,-0.0001269176697893,-4.77514166654119e-05,-3.06601020361791e-05,-2.82578875798041e-05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,-3.48373637652814e-05,0.0,0.0,0.0,0.0,0.0,-0.0082098315602191,9.68761416517593e-06,0.0,4.77731231975305e-05,2.46133197917183e-05,4.49384680416987e-05,0.0001020339601128,-0.0080516018216699,0.0,0.0,3.40433290237416e-05,1.45961730167707e-05,0.0,0.0,-0.0002410951175814,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003820290789693,0.0,0.0,0,0.0,0.0,0.0,-0.0016460188550304,0.0,0.0,0.0,0.0,0.0,0.0,-0.001391838272694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC,earthquake,sectorRegion_model,MIGT_ HH2_R1,0.465148481404032,-0.0070720384418788,-0.0001026758339893,0.0,0.0,0.0,0.0,0.0,-0.0093391810941963,-0.0003074389428417,-0.0005588765136789,-0.000107399483599,-0.0001038034536621,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,-4.7686365291376e-05,0.0,0.0,0.0,0.0,0.0,-0.0641455721477715,0.0002540910146308,8.06503871676172e-05,0.0003836020022075,0.0002069547149632,0.0003471241213176,0.000886713617249,-0.0627051140405231,9.29273936197183e-05,0.0,0.0001499361222967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012711369556523,0.0,0.0,0,0.0,0.0,0.0,-0.0063414563507786,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030580566431457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC,earthquake,sectorRegion_model,MIGT_ HH3_R1,0.100692750251518,-0.0333523671931993,-0.0007838158066841,0.0,0.0,0.0,0.0,0.0,-0.0339839357162596,-0.001159091062227,-0.0013535801273465,-0.001128648788539,-0.0007928532889407,-0.0009492485473249,-0.00180314963748,0.0,0,0.0,0.0,0.0,0.0,0.0,0,-0.0008188149448544,0.0,0.0,0.0,0.0,0.0,-0.112420719959261,0.0011908170488222,0.0008011339582609,0.0013400852976033,0.0008182140777924,0.0013719454904471,0.0040478273323208,-0.110787679196338,0.0009293630510881,0.0005863028114863,0.0010580337473832,0.0004165447101563,0.0004438214419367,0.0015072082880417,-0.0068934005770569,0.0,0.0,-0.0008171302603536,-0.0001581245067198,-0.0005013840334843,0.0,-0.0092001435432291,0.0,0.0,0,-0.000313895514884,0.0,0.0,-0.0304125028351077,0.0,0.0,0.0,0.0,0.0,-0.0081354434814796,-0.0136093259017107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC,earthquake,sectorRegion_model,MIGT_ HH4_R1,0.15814311350681,-0.0179805921329727,0.0,0.0,0.0,0.0,0.0,0.0,-0.0191341363603158,-0.0008062642574019,-0.0010548324017222,-0.0001459231486292,-0.0001893331831959,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16668182694519,0.0007855512575153,0.0001462250488975,0.0010944208398179,0.000652114373737,0.0010950555487615,0.0035661143765119,-0.162479360990284,0.000318424376553,0.0,0.0003320699770483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0113872245733785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC,earthquake,sectorRegion_model,MIGT_ HH1_R2,1.58252125077467,-5.35285473234443e-05,-0.0046558808857831,-0.0001419248028677,-2.74368178232434e-05,0.0,0.0,-1.37115862293813e-05,0.0004448479179184,-0.004138777409413,-0.0002345576982249,-0.00030970728261,-0.0001404042000803,-0.0001069938977072,-0.0004956320713595,-6.31254105802258e-05,0,-0.0006623328831826,-0.0085645358556473,0.0,0.0209230230820624,0.0,0,-0.0024888062177135,0.0005191700741732,-0.0006677434161537,0.0,0.0,0.0,0.0003125019723584,-0.0206255364049995,-0.0001033569430548,-0.0002754390401404,-0.0001240476603941,-0.0001485688744016,-0.000220018587714,0.0002688399826626,-0.0206388344246037,-3.97408528858908e-06,-0.0002098888797002,-5.90946425937569e-05,-0.0001631788397905,-0.0003431863448085,0.0,-0.0061657655914186,-0.0001198266648847,-0.0001739150037584,-0.0002431364683309,-0.0002316079160616,-0.0004144601426479,0.0003228024747502,-0.0154871525973016,-0.0002549232467599,0,-0.0001895300386048,0.0003177348193335,-0.008847474032292,0.0001822490717445,-0.0059980127865029,-0.0003109781293481,0.0,-0.0001035439578869,0.0,0.0,0.0,-0.0052119456175358,-3.28332192452023e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC,earthquake,sectorRegion_model,MIGT_ HH2_R2,5.53038934481417,-8.72944067097849e-05,-0.0066404977555806,0.0,0.0,0.0,0.0,0.0,0.0001109652251686,-0.0059772149376947,-0.0003815134941596,-0.0004479744936315,-0.0001635574323844,0.0,0.0,0.0,0,-0.000591394818443,-0.0277454117183428,0.0,0.0401769742618229,0.0,0,-0.0019293717342049,0.0001782265254472,0.0,-0.000223701176415,0.0,0.0,0.0007981119050211,-0.0600526920537492,0.0002042009017845,0.0,5.96050997054923e-05,0.0001380723912901,0.0004264880919057,0.0005574157673658,-0.0600672382990525,0.0003641019764598,0.0,5.95854219755677e-05,0.0,0.0,0.0,-0.005608187930104,0.0,-0.0003094138242494,-0.0003728264300498,0.0,0.0,0.0,-0.026886436673304,-0.0005706127172898,0,-0.0003396512423923,0.0,0.0,0.0,-0.0075494063368667,-0.0001631987583707,0.0,0.0,0.0,0.0,0.0,-0.0043384692999374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC,earthquake,sectorRegion_model,MIGT_ HH3_R2,6.75030611369242,-0.001028323495495,-0.0165819999788754,0.0,0.0,0.0,0.0,0.0,-0.0003645886309765,-0.0129773580742297,-0.0007620666601789,-0.0009590508291979,-0.0004832908305961,-0.0001644967472142,-0.0011476188738751,0.0,0,-0.0014783660621891,-0.0179121784588523,0.0,0.0419137860286148,0.0,0,-0.0057372147455705,0.0,0.0,0.0,0.0,0.0,0.0009424814146155,-0.0684257662800303,0.0003865484790288,0.0,0.0001302425186843,0.000310386733589,0.0013903835538373,0.0005563234753044,-0.068458906457979,0.0005029543158361,0.0,6.28337144662283e-05,0.0,0.0,0.0,-0.0135648756962012,0.0,-0.0008157029620833,-0.0008193485530706,-0.0002174414751209,-0.0005521714645673,-0.0006558524734404,-0.0167032104943659,-0.0005509239554322,0,-0.0006651004196388,0.0,0.0,-6.08250675742149e-05,-0.0169427457979351,-0.000416246571134,0.0,0.0,0.0,0.0,0.0,-0.0090464189235883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC,earthquake,sectorRegion_model,MIGT_ HH4_R2,18.654247414128,-0.0017058358844297,-0.0209806593767772,0.0,0.0,0.0,0.0,0.0,-0.0009529322062919,-0.0162914214519275,-0.0011456200486779,-0.0018020825379505,-0.0007304715523331,0.0,0.0,0.0,0,-0.0010754998427382,-0.0751629061291045,0.0,0.0925383769721876,0.0,0,-0.0168845450545996,0.0,0.0,0.0,0.0,0.0,0.0021561681073509,-0.216202426798399,0.0009755493031497,0.0019518201589232,0.0016121887056022,0.002845799416425,0.0080842266475563,0.0010254189314219,-0.216360539265144,0.0014652933463225,0.0018308954585379,0.0015692364937068,0.0011512944029697,0.000822948051309,-0.0059220887545971,-0.015483173491911,0.0,-0.0019967499926241,-0.0011169466964003,0.0,0.0,-0.0012291355470889,-0.060934849372526,-0.0006020985956432,0,-0.0018780591441454,0.0,0.0,-0.0032392037328817,-0.018853917324451,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024256681612967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC,earthquake,sectorRegion_model,MIGT_ HH1_R3,0.478769921975019,0.0,-0.000127790001535,-0.0024554188111247,0.0,-4.93140126904606e-05,0.0,0.0,0.0002233011379472,-0.0001112345551806,-0.0028229658468746,-9.03648720154279e-05,-6.41723234009147e-05,-0.0001035968200717,-0.0002029843298103,-0.0034783910881422,0,0.0005127546958919,0.0,0.0015102331655225,-0.0035365471041866,0.0,0,-8.70059275781403e-05,-0.0011286168614927,0.0,0.0,0.0,0.0,0.0001024536362651,-0.0001383473291015,-0.0160291120625577,-7.29073665039054e-05,-5.26619918233652e-05,-8.55367877691159e-05,-0.0001463265575974,0.0,-0.0001511554410914,-0.0160175941930758,-8.56585803898848e-06,-5.48637799041414e-07,0.0,-2.75473267266704e-05,0.0,0.0,-0.0031033662885176,0.0,-0.0001514544101727,0.0,0.0,0.0003234558565991,0.0,-0.0003777964047271,0,-3.54085131986094e-06,-0.0005038937024143,0.0,0.0002593806157813,0.0,-0.0025600522827355,0.0,0.0,0.0,-0.0019548861149169,-3.03497474280906e-06,-0.0001378066132365,-0.0035514414248004,0.0,0.0,-0.000769227877653,0.0,0.0,0.0,0.0,0.0
SLC,earthquake,sectorRegion_model,MIGT_ HH2_R3,2.311420487677,0.0,-0.000438495908597,-0.0056795503337482,0.0,0.0,0.0,0.0,0.0,-0.0008727947260816,-0.0111655502995255,-0.0004711944767072,-0.0004438058492941,-0.000146684035904,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,-0.000228037163407,0.0,0.0,0.0,0.0,0.0,0.0023186861978036,0.0008942012129232,-0.101671803576892,0.0011311407052501,0.0005793947984631,0.0009831739432712,0.0029321683435277,0.0,0.0004409406423348,-0.101083297388754,0.0005262314446152,0.0,0.0,0.0,0.0,0.0,-0.0051318043969377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0059434956771196,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002447536917955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
