,sector,baseKAP
0,GoodsA,2938.31635455936
1,TradeA,5938.38180543304
2,OtherA,6249.42725891704
3,GoodsB,495.109947875138
4,TradeB,2742.73191153162
5,OtherB,2310.34693051725
6,GoodsC,299.738477890607
7,TradeC,2183.72682350614
8,OtherC,1053.3520003263
9,GoodsD,680.406028263022
10,TradeD,1878.54579866302
11,OtherD,854.572099755455
12,GoodsE,173.526923278978
13,TradeE,1040.26722414147
14,OtherE,1799.60627318856
15,GoodsF,510.624749
16,TradeF,1385.484186
17,OtherF,1941.455572
18,GoodsG,149.807392
19,TradeG,2399.28817373208
20,OtherG,4460.27727366383
21,GoodsH,2737.735689
22,TradeH,12655.499861
23,OtherH,1947.215698
24,HS1A,2925.88135059953
25,HS2A,1373.12892109697
26,HS3A,3674.55738066752
27,HS1B,2654.92936472622
28,HS2B,2813.21985311375
29,HS3B,1579.83108779089
30,HS1C,2187.14407653677
31,HS2C,1601.51082847812
32,HS3C,1723.46795472868
33,HS1D,1002.27132372166
34,HS2D,3247.24645040422
35,HS3D,989.729377262407
36,HS1E,882.174099436754
37,HS2E,4516.4742319318
38,HS3E,1334.63638983798
39,HS1F,874.940775
40,HS2F,6847.283171
41,HS3F,1209.557368
42,HS1G,1222.32597007787
43,HS2G,2297.2862692704
44,HS3G,3160.37754423205
45,HS1H,2528.177375
46,HS2H,715.725348
47,HS3H,1870.496934
