Structure ID,Block ID,Parcel ID,Housing Unit Estimate,Longitude,Latitude,Land Use Code
41007000000020005S,410079511001025,0,1,-123.9004517,46.01049423,422
41007000000020009S,410079511003005,0,1,-123.9320602,45.97983551,900
41007020802001001S,410079507002020,20802,1,-123.9186249,46.01756668,142
41007020853008001S,410079507002040,20853,1,-123.9136429,46.01732636,122
41007020853008002S,410079507002040,20853,1,-123.9136429,46.01732636,123
41007020853008003S,410079507002040,20853,1,-123.9136429,46.01732636,123
41007020853008004S,410079507002040,20853,1,-123.9136429,46.01732636,112
41007020853008005S,410079507002040,20853,1,-123.9136429,46.01732636,123
41007020853008006S,410079507002040,20853,1,-123.9136429,46.01732636,120
41007020853008007S,410079507002040,20853,1,-123.9136429,46.01732636,123
41007020853008008S,410079507002040,20853,1,-123.9136429,46.01732636,550
41007020864002001S,410079507001001,20864,1,-123.9034271,46.01749802,192
41007020864002002S,410079507001001,20864,1,-123.9034271,46.01749802,192
41007020879001001S,410079507001013,20879,1,-123.9052505,46.01727676,140
41007020880001001S,410079507001013,20880,6,-123.9109116,46.01689148,141
41007020933038001S,410079507001006,20933,1,-123.9089966,46.01433563,191
41007020933038002S,410079507001006,20933,1,-123.9089966,46.01433563,193
41007020933038003S,410079507001006,20933,1,-123.9089966,46.01433563,193
41007020933038004S,410079507001006,20933,1,-123.9089966,46.01433563,191
41007020933038005S,410079507001006,20933,1,-123.9089966,46.01433563,193
41007020933038006S,410079507001006,20933,2,-123.9089966,46.01433563,193
41007020933038007S,410079507001006,20933,2,-123.9089966,46.01433563,191
41007020933038008S,410079507001006,20933,1,-123.9089966,46.01433563,193
41007020933038009S,410079507001006,20933,1,-123.9089966,46.01433563,193
41007020933038010S,410079507001006,20933,1,-123.9089966,46.01433563,193
41007020933038011S,410079507001006,20933,1,-123.9089966,46.01433563,193
41007020933038012S,410079507001006,20933,1,-123.9089966,46.01433563,191
41007020933038013S,410079507001006,20933,1,-123.9089966,46.01433563,193
41007020933038014S,410079507001006,20933,1,-123.9089966,46.01433563,191
41007020933038015S,410079507001006,20933,1,-123.9089966,46.01433563,193
41007020933038016S,410079507001006,20933,1,-123.9089966,46.01433563,193
41007020933038017S,410079507001006,20933,1,-123.9089966,46.01433563,191
41007020933038018S,410079507001006,20933,1,-123.9089966,46.01433563,193
41007020933038019S,410079507001006,20933,1,-123.9089966,46.01433563,193
41007020933038020S,410079507001006,20933,1,-123.9089966,46.01433563,193
41007020933038021S,410079507001006,20933,1,-123.9089966,46.01433563,193
