Structure ID,Detail Network Node ID 1,Skeletonized Network Node ID 2
41007000000020005S,,
41007000000020009S,,
41007020802001001S,,
41007020853008001S,,
41007020853008002S,,
41007020853008003S,,
41007020853008004S,,
41007020853008005S,,
41007020853008006S,,
41007020853008007S,,
41007020853008008S,,
41007020864002001S,,
41007020864002002S,,
41007020879001001S,,
41007020880001001S,,
41007020933038001S,227,22
41007020933038002S,227,22
41007020933038003S,227,22
41007020933038004S,227,22
41007020933038005S,227,22
41007020933038006S,227,22
41007020933038007S,227,22
41007020933038008S,227,22
41007020933038009S,227,22
41007020933038010S,227,22
41007020933038011S,227,22
41007020933038012S,227,22
41007020933038013S,227,22
41007020933038014S,227,22
41007020933038015S,227,22
41007020933038016S,227,22
41007020933038017S,227,22
41007020933038018S,227,22
41007020933038019S,227,22
41007020933038020S,227,22
41007020933038021S,227,22
41007020933038022S,227,22
41007020933038023S,227,22
41007020933038024S,227,22
41007020933038025S,227,22
41007020933038026S,227,22
41007020933038027S,227,22
41007020933038028S,227,22
41007020933038029S,227,22
41007020933038030S,227,22
41007020933038031S,227,22
41007020933038032S,227,22
41007020933038033S,227,22
41007020933038034S,227,22
41007020933038035S,227,22
41007020933038036S,227,22
41007020933038037S,227,22
41007020933038038S,227,22
41007020952001001S,19,6
41007020953001001S,19,6
41007020956001001S,,
41007020959001001S,19,6
41007020960001001S,207,49
41007020961001001S,227,51
41007020964001001S,19,6
41007020966001001S,207,49
41007020968001001S,227,50
41007020969001001S,227,50
41007020970001001S,,
41007020971001001S,19,6
41007020972001001S,,
41007020973001001S,19,6
41007020974001001S,,
41007020975001001S,,
41007020976001001S,,
41007020977001001S,,
41007020978001001S,,
41007020979001001S,227,50
41007020980001001S,,
41007020981001001S,,
41007020982001001S,,
41007020990001001S,227,50
41007020991001001S,227,50
41007020993001001S,19,6
41007020994001001S,19,6
41007020995001001S,19,6
41007020997001001S,19,6
41007020998001001S,19,6
41007021000001001S,19,6
41007021001001001S,19,6
41007021002001001S,19,6
41007021004001001S,227,50
41007021006001001S,19,6
41007021007001001S,19,6
41007021009001001S,19,6
41007021010001001S,396,53
41007021011001001S,396,53
41007021013001001S,19,6
41007021014001001S,227,50
41007021017001001S,19,6
41007021019001001S,207,49
41007021022001001S,227,50
41007021025001001S,207,49
41007021026001001S,19,6
41007021027001001S,19,6
41007021029001001S,227,50
41007021031001001S,19,6
41007021033001001S,207,49
41007021034001001S,19,6
41007021035001001S,19,6
41007021038001001S,,
41007021041001001S,396,53
41007021043001001S,227,50
41007021045001001S,19,6
41007021048001001S,19,6
41007021049001001S,19,6
41007021050001001S,227,50
41007021051001001S,19,6
41007021052001001S,19,6
41007021053001001S,227,50
41007021055001001S,19,6
41007021056001001S,396,53
41007021058001001S,19,6
41007021059001001S,19,6
41007021060001001S,19,6
41007021061001001S,227,50
41007021065001001S,227,50
41007021066001001S,19,6
41007021067001001S,396,53
41007021068001001S,19,6
41007021070001001S,19,6
41007021071001001S,227,50
41007021072001001S,19,6
41007021073001001S,19,6
41007021076001001S,19,6
41007021077001001S,101,7
41007021078001001S,19,6
41007021080001001S,19,6
41007021081001001S,396,53
41007021082001001S,101,7
41007021084001001S,,
41007021085001001S,19,6
41007021086001001S,101,7
41007021087001001S,19,6
41007021089001001S,19,6
41007021090001001S,101,7
41007021091001001S,19,6
41007021092001001S,227,50
41007021093001001S,19,6
41007021095001001S,396,53
41007021096001001S,19,6
41007021097001001S,19,6
41007021098001001S,19,6
41007021099001001S,19,6
41007021102001001S,227,50
41007021104001001S,396,53
41007021105001001S,207,49
41007021106001001S,19,6
41007021108001001S,19,6
41007021109001001S,19,6
41007021110001001S,19,6
41007021112001001S,19,6
41007021113001001S,19,6
41007021114001001S,19,6
41007021115001001S,19,6
41007021116001001S,19,6
41007021117001001S,19,6
41007021118001001S,19,6
41007021119001001S,19,6
41007021120001001S,19,6
41007021121001001S,19,6
41007021123001001S,19,6
41007021125001001S,19,6
41007021127001001S,101,7
41007021129001001S,19,6
41007021130001001S,19,6
41007021131001001S,19,6
41007021132001001S,19,6
41007021133001001S,19,6
41007021134001001S,19,6
41007021136001001S,19,6
41007021138001001S,19,6
41007021140001001S,19,6
41007021141001001S,19,6
41007021142001001S,226,12
41007021143001001S,226,12
41007021144002001S,,
41007021144002002S,,
41007021145001001S,226,12
