ID,linkid,Bridge_Typ,X,Y,ADT
0,61,3,-89.73675,35.223083,350
1,47,7,-89.650283,35.269789,28410
2,81,0,-89.649117,35.075317,4500
3,83,7,-89.659986,35.137564,4800
4,63,7,-89.650206,35.222122,1560
5,56,7,-89.738722,35.259056,12560
6,53,7,-89.643689,35.306425,4540
7,19,7,-89.724972,35.400186,6930
8,68,0,-89.714442,35.205128,16110
9,82,7,-89.646889,35.044917,9800
10,86,7,-89.682108,35.043556,8280
11,51,0,-89.680111,35.279889,12820
12,88,0,-89.678861,35.026028,23240
13,80,0,-89.649667,35.181633,12000
14,84,0,-89.648583,35.0274,50
15,62,0,-89.655883,35.222683,4760
16,90,7,-89.809186,35.020431,18820
17,78,0,-89.812972,35.185417,27430
18,18,7,-89.843908,35.337506,4540
19,54,7,-89.758944,35.336361,3310
20,12,7,-89.851303,35.279536,14730
21,20,7,-89.807103,35.323828,9790
22,59,0,-89.820969,35.203792,28160
23,79,0,-89.797667,35.131917,31400
24,14,7,-89.834944,35.308528,9150
25,92,2,-89.796639,35.037806,38550
26,55,7,-89.762306,35.310111,8640
27,4,0,-89.913417,35.183467,90350
28,43,2,-89.8821,35.149617,148100
29,34,0,-89.938311,35.080933,140650
30,33,2,-89.906833,35.078222,39110
31,32,3,-89.870611,35.089556,15140
32,36,3,-89.868139,35.123306,6450
33,132,7,-89.969742,35.020911,36870
34,41,5,-89.969397,35.149861,14970
35,75,7,-89.872611,35.167944,27460
36,16,0,-89.917381,35.334531,25140
37,29,0,-89.917361,35.038083,14990
38,35,3,-89.952983,35.078086,34590
39,3,0,-89.969411,35.158511,14970
40,7,0,-89.924306,35.200333,61360
41,40,4,-89.95795,35.133703,12990
42,5,0,-89.89615,35.186975,38300
43,13,7,-89.887375,35.274711,16680
44,17,0,-89.899181,35.33015,17850
45,100,7,-89.984361,35.11525,21990
46,96,4,-89.983889,35.133444,21230
47,73,2,-90.044553,35.151864,70040
48,70,7,-90.031889,35.150228,80570
49,1,4,-90.018342,35.170506,113830
50,8,0,-89.99325,35.192361,8810
51,46,0,-90.022028,35.144667,28220
52,126,2,-90.002278,35.006611,16330
53,128,2,-90.007539,35.045836,85540
54,115,1,-90.025675,35.070161,98370
55,116,3,-90.042606,35.076197,89120
56,120,6,-90.076,35.085522,69170
57,112,3,-90.072539,35.12505,54730
58,102,3,-90.024161,35.132819,71020
59,117,3,-90.029444,35.109639,1310
60,131,1,-89.985453,35.076181,147030
61,45,3,-90.021719,35.151806,146510
62,119,0,-90.054733,35.107483,1310
63,118,7,-90.018075,35.098669,12430
64,24,2,-90.035217,35.188725,9910
65,23,2,-90.03345,35.205881,27580
66,21,7,-89.993883,35.259639,18810
67,99,3,-90.000806,35.116278,7770
68,130,7,-90.072628,35.035958,19180
69,94,2,-89.974833,35.133106,21230
70,38,2,-89.971208,35.136189,23530
71,71,0,-90.044472,35.14525,6300
72,69,3,-90.038639,35.153472,22800
73,44,7,-90.012361,35.153444,11170
74,22,2,-90.025033,35.251294,7950
75,122,7,-90.118692,34.999203,13540
76,123,0,-90.09635,34.998183,3430
