slight,none,slight,none,none,none,none,slight,slight,none,none,slight,none,slight,none,slight,none,extensive,moderate,slight,complete,slight,complete,extensive,slight,extensive,slight,complete,complete,extensive,complete,extensive,complete,slight,complete,extensive,moderate,extensive,complete,complete,extensive,extensive,extensive,slight,extensive,extensive,complete,complete,moderate,extensive,complete,complete,complete,complete,complete,moderate,extensive,extensive,moderate,moderate,moderate,complete,complete,slight,complete,complete,slight,moderate,moderate,complete,complete,extensive,slight,slight,complete,slight,extensive
none,none,slight,none,none,none,none,slight,slight,none,none,slight,none,slight,none,slight,slight,moderate,slight,slight,slight,none,slight,slight,slight,none,none,slight,slight,slight,none,slight,none,none,slight,none,moderate,slight,none,slight,moderate,slight,extensive,none,extensive,none,slight,moderate,slight,moderate,complete,extensive,slight,extensive,slight,slight,extensive,moderate,extensive,moderate,slight,slight,slight,none,moderate,complete,moderate,slight,slight,extensive,complete,moderate,slight,slight,complete,slight,slight
moderate,slight,moderate,none,none,none,none,slight,slight,slight,slight,slight,slight,slight,slight,slight,none,slight,extensive,slight,slight,slight,extensive,slight,slight,slight,slight,moderate,moderate,slight,none,slight,slight,slight,extensive,complete,extensive,moderate,extensive,complete,complete,extensive,complete,slight,extensive,slight,moderate,complete,slight,extensive,complete,complete,complete,complete,extensive,extensive,complete,moderate,extensive,moderate,moderate,extensive,complete,slight,complete,complete,slight,extensive,slight,complete,complete,moderate,moderate,slight,complete,slight,slight
moderate,slight,extensive,slight,slight,slight,slight,slight,moderate,slight,moderate,slight,slight,moderate,moderate,moderate,slight,moderate,moderate,slight,slight,slight,moderate,moderate,slight,slight,slight,slight,extensive,slight,complete,slight,slight,none,none,none,complete,none,slight,slight,slight,slight,complete,slight,complete,slight,moderate,complete,slight,moderate,complete,slight,moderate,extensive,none,slight,slight,extensive,slight,slight,slight,moderate,slight,none,complete,complete,slight,slight,none,complete,complete,slight,slight,slight,complete,none,slight
slight,slight,moderate,slight,slight,slight,moderate,slight,complete,none,none,moderate,slight,slight,slight,slight,slight,complete,slight,slight,slight,slight,extensive,complete,none,none,slight,complete,slight,extensive,extensive,slight,moderate,none,moderate,slight,slight,slight,slight,complete,extensive,extensive,slight,none,complete,slight,extensive,complete,slight,moderate,moderate,slight,moderate,extensive,slight,slight,moderate,complete,extensive,complete,extensive,extensive,complete,moderate,complete,complete,slight,moderate,slight,moderate,moderate,moderate,moderate,slight,complete,slight,complete
slight,none,slight,slight,none,none,none,none,slight,none,none,none,none,none,none,none,none,slight,slight,none,slight,none,none,none,none,none,none,none,none,none,none,none,none,none,slight,none,slight,none,none,moderate,moderate,slight,slight,slight,slight,none,moderate,complete,none,slight,moderate,slight,none,none,none,none,slight,none,slight,slight,none,slight,slight,none,complete,complete,slight,slight,none,complete,complete,slight,slight,slight,complete,none,none
none,none,none,none,none,none,none,none,slight,none,none,none,none,none,none,none,none,slight,none,none,none,none,slight,slight,none,slight,none,complete,complete,slight,complete,none,none,none,moderate,none,extensive,slight,slight,slight,slight,none,slight,none,moderate,none,slight,complete,none,none,slight,slight,none,slight,slight,slight,slight,slight,slight,slight,none,slight,slight,none,slight,slight,slight,none,none,none,none,slight,slight,none,complete,slight,slight
moderate,none,slight,slight,none,none,none,none,slight,none,none,slight,slight,slight,slight,slight,none,moderate,none,none,none,none,moderate,moderate,none,slight,none,slight,moderate,moderate,slight,slight,slight,none,none,none,slight,slight,moderate,slight,slight,slight,slight,none,slight,none,slight,extensive,slight,moderate,moderate,extensive,none,moderate,slight,slight,slight,extensive,extensive,complete,moderate,complete,complete,slight,slight,extensive,slight,complete,slight,moderate,moderate,extensive,extensive,slight,moderate,slight,moderate
slight,none,slight,none,none,none,none,slight,slight,none,none,slight,none,none,none,slight,none,slight,complete,slight,moderate,slight,slight,slight,moderate,moderate,slight,slight,complete,slight,complete,slight,slight,none,extensive,slight,extensive,slight,slight,extensive,slight,moderate,complete,slight,extensive,moderate,moderate,complete,slight,moderate,complete,complete,slight,slight,moderate,moderate,complete,extensive,complete,complete,extensive,extensive,complete,slight,extensive,complete,moderate,complete,slight,complete,complete,complete,slight,slight,complete,slight,slight
slight,none,slight,none,none,slight,none,slight,slight,none,none,slight,slight,slight,none,slight,none,slight,slight,none,slight,slight,moderate,slight,slight,extensive,none,moderate,extensive,moderate,complete,slight,moderate,slight,moderate,slight,moderate,slight,slight,slight,moderate,slight,slight,slight,extensive,slight,slight,complete,slight,extensive,complete,extensive,complete,complete,slight,moderate,moderate,slight,slight,slight,moderate,slight,slight,slight,complete,complete,none,slight,none,complete,complete,slight,moderate,none,complete,none,slight
none,none,none,none,none,none,none,slight,slight,none,none,none,slight,none,slight,none,none,none,none,slight,none,none,none,slight,none,slight,none,none,none,slight,slight,slight,none,slight,none,none,none,none,slight,slight,slight,none,slight,none,slight,none,slight,complete,slight,slight,moderate,slight,slight,extensive,slight,moderate,moderate,slight,slight,moderate,slight,slight,slight,none,complete,complete,slight,slight,none,complete,complete,slight,moderate,slight,complete,none,slight
slight,none,slight,none,none,none,none,none,slight,none,none,slight,slight,slight,slight,none,slight,slight,none,none,none,none,slight,slight,none,moderate,none,none,slight,slight,complete,slight,none,slight,slight,none,slight,moderate,slight,slight,slight,slight,slight,none,slight,none,slight,slight,none,none,slight,slight,slight,extensive,slight,none,none,none,none,none,moderate,none,slight,none,slight,slight,none,none,none,moderate,slight,slight,slight,none,slight,slight,slight
slight,slight,slight,slight,none,slight,slight,slight,slight,none,none,slight,slight,slight,slight,slight,slight,extensive,slight,slight,slight,slight,extensive,complete,none,complete,slight,complete,complete,complete,complete,extensive,extensive,moderate,extensive,moderate,complete,complete,moderate,complete,moderate,moderate,moderate,slight,complete,moderate,extensive,complete,slight,extensive,complete,complete,complete,moderate,slight,moderate,complete,extensive,moderate,slight,extensive,complete,complete,slight,complete,complete,extensive,complete,moderate,complete,complete,complete,complete,complete,complete,complete,complete
none,none,none,none,none,none,none,slight,slight,none,none,slight,slight,none,none,none,none,none,slight,none,none,none,none,none,none,slight,none,none,slight,slight,complete,none,none,slight,slight,none,slight,moderate,slight,slight,none,slight,slight,slight,slight,none,slight,complete,slight,slight,slight,moderate,complete,complete,moderate,slight,slight,none,slight,none,slight,none,slight,slight,extensive,complete,slight,slight,slight,complete,extensive,slight,slight,slight,complete,slight,slight
moderate,slight,slight,slight,none,none,none,none,slight,slight,none,slight,slight,slight,slight,slight,slight,slight,slight,none,slight,none,slight,slight,none,moderate,none,none,slight,extensive,complete,complete,complete,complete,extensive,slight,slight,complete,complete,extensive,extensive,extensive,slight,slight,slight,slight,complete,complete,complete,complete,complete,complete,complete,complete,extensive,complete,complete,complete,complete,complete,complete,complete,complete,slight,complete,complete,slight,complete,slight,complete,complete,extensive,complete,slight,complete,complete,complete
slight,slight,slight,none,none,slight,none,slight,slight,none,none,slight,slight,slight,none,slight,none,extensive,slight,slight,slight,slight,extensive,slight,none,complete,none,extensive,complete,moderate,complete,moderate,slight,slight,slight,none,moderate,slight,slight,slight,slight,slight,slight,slight,moderate,slight,slight,extensive,slight,moderate,extensive,moderate,complete,complete,moderate,moderate,moderate,slight,slight,moderate,moderate,slight,slight,none,complete,complete,slight,none,none,extensive,extensive,moderate,slight,slight,complete,moderate,complete
none,slight,slight,slight,slight,slight,slight,none,slight,none,slight,slight,slight,slight,slight,slight,none,slight,slight,slight,none,none,slight,slight,slight,slight,slight,moderate,slight,extensive,complete,moderate,slight,complete,extensive,none,slight,extensive,complete,moderate,moderate,slight,slight,slight,slight,slight,extensive,complete,slight,moderate,moderate,extensive,moderate,complete,moderate,moderate,slight,slight,slight,slight,slight,moderate,moderate,slight,extensive,complete,slight,slight,none,moderate,moderate,slight,slight,slight,complete,none,slight
extensive,none,moderate,slight,none,none,none,none,slight,slight,slight,slight,moderate,slight,slight,moderate,slight,slight,none,none,none,none,moderate,slight,none,extensive,none,extensive,slight,moderate,complete,extensive,moderate,slight,extensive,none,slight,extensive,extensive,slight,slight,slight,slight,slight,slight,slight,moderate,extensive,none,extensive,extensive,extensive,complete,complete,extensive,extensive,extensive,slight,slight,slight,extensive,moderate,complete,slight,complete,complete,slight,complete,slight,complete,complete,slight,complete,slight,complete,moderate,complete
