To,From,Total_trip
1,2,153.606308
7,2,39.597712
20,2,24.822398
2,1,156.333122
0,1,124.552576
74,1,134.938681
73,1,165.055209
75,1,24.767966
72,1,96.157332
74,0,208.70576
73,0,224.885539
72,0,148.220934
2,7,44.794233
0,7,45.279266
74,7,70.438087
73,7,65.51802
72,7,32.808127
2,20,24.763311
26,20,207.991303
27,20,126.745725
74,20,45.070882
73,20,67.722321
72,20,91.596713
16,20,31.336944
67,20,27.360118
1,0,125.545219
7,0,41.768524
75,0,57.159914
10,0,21.12649
20,26,212.665403
0,74,195.108874
74,6,20.151993
1,75,26.34285
0,75,61.382206
20,27,127.73174
27,9,25.51048
18,9,70.554648
16,9,21.568746
30,9,21.177284
61,9,23.38319
74,75,83.991762
73,75,126.472203
72,75,82.479573
0,10,24.562182
75,10,22.841215
74,10,60.223145
73,10,80.618684
72,10,65.296893
74,73,34.92438
72,73,303.947095
74,25,33.943622
27,25,23.871004
73,25,26.584197
72,25,22.867829
16,25,101.325415
31,25,24.814021
16,12,33.908335
0,73,179.62787
75,73,118.895724
1,74,145.659318
7,74,48.790149
20,74,43.621973
75,74,81.325722
10,74,83.868805
73,74,31.336255
25,74,36.4842
12,74,20.076321
23,74,249.732903
72,74,54.664361
69,74,136.568027
68,74,117.653131
66,74,89.097697
67,74,139.809771
65,74,23.693325
61,74,21.304542
25,27,23.071741
16,11,22.591108
76,73,59.460115
1,73,154.624173
7,73,63.173368
20,73,64.561997
10,73,78.928791
25,73,27.580082
23,73,172.522835
69,73,272.968727
68,73,220.464098
66,73,158.444062
67,73,156.888206
20,25,20.123791
15,73,44.36532
52,73,47.533862
65,73,23.254378
61,73,26.763179
69,76,43.863025
16,15,114.789221
68,15,83.370243
74,23,244.621138
72,23,663.481804
73,23,199.393586
76,23,55.618475
69,23,20.374581
18,23,25.658622
68,23,49.576905
67,23,44.195637
16,17,57.319311
68,17,20.410567
73,15,47.171093
72,15,129.708079
1,72,134.027671
0,72,141.204315
7,72,34.524451
20,72,92.159538
75,72,84.050064
10,72,69.311129
73,72,335.550821
25,72,24.959421
23,72,687.4751
15,72,126.720844
18,72,83.105395
68,72,111.743653
66,72,592.489185
67,72,653.201606
71,72,145.39396
52,72,281.842403
65,72,313.24131
61,72,89.077816
73,76,58.751897
23,76,54.240905
18,76,21.754263
67,76,23.670866
72,18,82.796718
76,18,21.811055
27,18,50.650683
16,18,345.728269
68,18,69.848964
32,18,20.877149
43,18,67.990188
67,18,215.454605
29,18,21.233157
41,18,20.798068
42,18,41.519687
61,18,169.635632
9,27,25.62836
18,27,52.44511
16,27,37.784333
38,27,44.915695
67,27,22.431979
35,27,22.708359
18,16,348.641818
68,16,33.933608
31,16,186.121801
33,16,66.805296
67,16,69.916779
9,18,71.357368
9,16,21.863734
17,16,58.797375
18,70,85.428278
69,72,24.201576
29,72,20.756466
43,72,24.740739
41,72,89.220372
64,72,23.499815
42,72,52.509359
60,72,23.51632
20,16,32.907896
25,16,95.799661
12,16,34.871849
11,16,23.307886
15,16,120.012988
27,16,39.907248
24,16,24.217433
28,16,23.352585
29,16,98.538611
30,16,43.663936
74,72,51.809124
70,72,25.449265
69,70,388.737042
66,69,524.636612
71,69,1079.026134
67,69,375.456725
65,69,218.643463
61,69,93.809541
74,69,135.367478
73,69,270.305665
76,69,44.590281
23,69,20.45112
70,69,328.960521
52,69,42.229447
73,68,207.901846
31,24,83.292695
30,39,45.022373
16,24,23.637655
43,24,47.19229
67,68,924.294907
74,68,111.219605
70,68,85.407467
71,68,299.907619
66,68,224.019964
39,30,46.604121
38,30,105.40276
33,30,298.850176
23,18,23.988161
70,18,59.084424
69,18,49.388608
66,18,100.68216
71,18,21.081771
52,18,123.383955
65,18,308.910863
50,18,28.581242
72,70,26.382515
68,70,87.621429
66,70,155.915754
67,70,75.98878
65,70,53.699517
61,70,27.231886
68,69,49.594135
29,24,52.829346
33,24,54.436385
34,24,20.788046
30,31,297.998178
65,68,45.305133
15,68,108.306994
23,68,56.705135
17,68,21.881513
72,68,111.698937
18,68,72.234448
16,68,34.553329
69,68,93.541273
31,68,31.152384
43,68,34.786861
34,68,22.539837
61,68,27.496567
16,31,226.217004
29,31,86.313848
67,31,595.96177
43,31,349.006753
33,31,612.447292
34,31,602.031577
9,30,21.219819
27,30,20.371426
31,30,266.042815
29,30,194.490481
67,30,259.432153
43,30,96.398295
34,30,140.657405
16,28,23.542558
30,28,20.59848
18,32,21.042598
67,32,255.663853
43,32,133.000111
33,32,318.867347
72,71,148.697056
69,71,1223.239483
68,71,301.42445
66,71,1255.778379
67,71,1179.241081
65,71,830.158271
64,71,165.211596
61,71,158.603291
18,69,54.069956
30,24,22.623027
67,24,22.553434
72,69,23.540771
34,32,87.98635
67,66,1230.492765
71,67,1202.453387
61,67,872.521004
16,29,97.566038
33,29,365.054192
67,29,360.542299
43,29,276.899028
34,29,123.265432
35,29,329.748717
41,29,276.80323
31,43,312.235312
67,43,795.585256
18,43,68.568404
71,43,50.575492
66,43,256.288102
29,43,254.317244
33,43,364.606181
65,43,467.615385
52,43,97.468991
41,43,602.594761
42,43,172.80325
61,43,176.217404
43,33,368.454822
30,29,196.545787
43,71,50.248738
63,71,26.729278
29,32,22.006019
16,30,44.485702
35,30,83.297056
36,30,115.3779
41,30,24.54105
27,38,44.912649
30,38,106.148708
74,66,64.246689
73,66,97.305735
72,66,512.29973
69,66,548.838671
68,66,222.396332
70,66,156.370431
71,66,1113.02478
43,66,258.391952
52,66,1121.695358
33,66,22.610967
65,66,796.061784
61,66,192.128937
74,67,112.052955
73,67,138.585493
72,67,460.440101
69,67,252.542443
31,67,716.953367
33,67,781.727164
65,67,2633.806908
18,66,170.485361
18,67,265.61887
29,67,400.965726
66,67,1267.797258
30,67,315.244951
34,67,916.364993
43,67,820.527243
52,67,1154.659835
41,67,1933.790306
64,67,431.806768
42,67,627.338006
24,29,54.268766
31,29,84.093088
37,30,31.176431
20,31,20.075334
25,31,28.750192
24,31,114.591779
68,31,32.697373
38,31,21.391839
36,31,113.375855
41,31,612.09028
35,31,285.121746
65,31,126.071536
42,31,159.514552
61,31,25.706883
24,30,22.072636
52,71,249.489262
31,33,621.670634
29,33,367.20411
67,33,689.688915
18,29,20.861613
72,29,20.127196
32,29,21.553515
36,29,28.472106
65,29,21.367809
42,29,53.813932
67,52,1133.98855
65,52,1334.786015
66,52,1124.952748
32,33,324.691708
41,33,886.173149
35,33,281.724028
42,33,504.6332
30,33,247.821688
24,33,55.144392
34,33,623.481831
36,33,130.624134
61,33,94.08121
60,33,37.6488
68,67,965.445431
32,67,309.181109
63,67,174.168116
50,67,54.301045
60,67,194.371307
67,34,811.74179
33,34,599.558811
43,34,361.000112
41,34,1879.732385
35,34,884.37809
42,34,1223.925526
18,71,22.800642
64,66,218.608348
29,34,123.559548
31,34,559.646519
69,52,43.12393
64,52,288.777564
63,52,127.723062
61,52,46.329612
24,43,46.791806
68,43,33.181399
30,43,96.370845
32,43,131.484953
34,43,361.629167
36,43,20.151849
64,43,23.382812
49,43,20.648827
60,43,28.456422
30,34,141.98074
18,33,20.228187
16,33,87.424158
66,33,22.311214
65,33,154.283903
87,33,24.238721
63,66,48.068858
20,67,28.187498
23,67,44.134335
76,67,20.80541
27,67,25.363335
